Zip Code,#2 Fuel Oil with 0% biodiesel (gallons),#2 Fuel Oil with 2% biodiesel (gallons),#2 Fuel Oil with 5% biodiesel (gallons),#2 Fuel Oil with 6% biodiesel (gallons),#2 Fuel Oil with 10% biodiesel (gallons),#2 Fuel Oil with 17% biodiesel (gallons),Total #2 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #2 Fuel Oil,Total Biodiesel Blended with #2 Fuel Oil 1,#4 Fuel Oil with 2% biodiesel (gallons),#4 Fuel Oil with 5% biodiesel (gallons),#4 Fuel Oil with 6% biodiesel (gallons),Total #4 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #4 Fuel Oil
11210,0,15509.18392,165993.8278,231033.407,10203,3734,404727.6593,24722.26,105072.49,1163.618287,58213,2527.26141,58818.32165,3085.55805
11211,669,16193.7562,62799.47452,273927.0216,71747.2,11905,417074.8522,31330.9,112513.01,2945.745087,139688.1,14078.24124,148824.0719,7888.014376
11212,0,20211.117,179635.7728,257644.0426,83854.7,18101,523299.3388,36347.29,140967.16,5086.97303,252621,12916.31152,257116.5164,13507.76815
11213,1302.5,21516.07522,150598.3199,359273.9823,44385.1,15093,558537.581,37243.4,148228.51,4938.554799,190433.7,67356.25808,249066.6813,13661.83158
11214,0,165144.3322,80122.21656,4198514.969,121052.2,791,4299947.852,272905.27,1131449.16,940.5223812,42154.8,6939.972673,47492.34625,2542.948808
11215,0,98780.68802,155436.27,2363899.516,101439.8,3779,2570492.186,164748.99,676466.25,6848.669471,65929.7,291567.2374,343418.1142,20927.49263
11216,6423.7,19211.57388,166742.4387,305221.9309,0,32702,499041.7143,32927.53,132402.35,1971.857025,102683.4,246.4975905,99713.35762,5188.396996
11217,0,22873.22901,294408.8124,250948.8783,52892,11048,595720.4818,37640.14,156546.29,0,0,0,0,0
11218,0,41920.65379,91961.68988,997277.2247,16946.4,1592,1091328.837,69455.73,285504.18,1514.285355,30603.6,48441.29754,76092.23934,4466.94356
11219,0,19333.19837,96149.64907,418104.3833,0,0,504706.6613,30630.37,131221.74,1862.317734,66994.2,30217.80432,93874.29744,5200.024614
11220,1727.3,38416.76445,187316.259,833243.6098,0,2392,1003093.169,60668.56,261154.04,2048.777642,0,106945.1133,102536.2086,6457.682349
11221,755.7,21818.71348,119407.4464,237077.9828,192617,23947,558489.4871,45671.56,155662.01,2633.55177,137140.8,329.2146224,133174.1025,6929.463913
11222,0,876076.7955,20432907.11,1613126.55,21482.9,26287,22858285.51,1400315.74,5714228.67,44490.40987,1467652,854723.9501,2241310.515,125555.8452
11223,0,15464.61606,98356.11888,313980.0978,0,415,404079.3786,24136.45,104952.33,4109.98364,214025.2,513.7801836,207834.6773,10814.28648
11224,0,10164.58481,66900.07864,154171.4935,49221.6,1000,263567.0117,17890.75,70604.15,312.571621,0,16316.0739,15643.42966,985.2158666
11225,1803.6,26618.38553,263368.9166,354527.2502,78180.9,10734,692082.6138,44981.54,183031.84,5872.96286,245922.2,60643.36641,296386.358,16052.17124
11226,1103,29957.93758,166300.8533,550427.4905,68127.6,0,778059.9504,51476.53,204364.6,1369.233457,59878.5,11594.76492,69125.50281,3716.995564
11227,2123,660.4793596,115.7253006,12065.49503,0,3324,16980.69414,1308.01,4704.14,0,0,0,0,0
11228,0,14270.8701,74650.25775,242254.232,62671.6,438,370090.9556,25070,98913,492.1145115,25626.6,61.51817287,24885.3693,1294.863381
11229,0,18111.1731,55640.03301,397727.3963,12636.4,12876,470137.0535,31362.05,124487.84,5568.032219,272348.9,18299.44769,281389.6074,14826.77251
11230,4699,27752.98035,245403.3136,461817.2341,0,14980,722634.5488,45846.58,187607.77,4017.489171,110357,99353.81765,202168.878,11559.42884
11231,0,281680.4723,123206.8922,7371555.101,23301,0,7343326.105,456417.36,1925082.58,46152.11104,86600.5,2322515.376,2310663.997,144603.9898
11232,0,11796.53537,52357.5194,209136.3782,50310.9,0,305604.4136,21042.12,81553.96,706.4537267,36788.2,88.31225551,35724.12817,1858.83781
11233,3766,19970.83305,218635.0717,210271.8556,64875.7,30099,516366.3387,36626.82,138825.15,4140.891303,215634.7,517.6438838,209397.6237,10895.61146
11234,2506,17790.46036,137193.8396,330563.5539,0,3675,464766.5494,27852,120627.37,1720.966306,89618.4,215.1342833,87026.25321,4528.247383
11235,591,12713.07257,54949.30965,172567.6021,107829.5,3258,327309.4913,24715.99,90154.49,674.8048179,33640.1,1584.355894,34108.69826,1790.56245
11236,2710,23462.90446,296153.3318,246866.6199,73795.3,1389,610921.8543,38766.9,159888.95,19.20326971,1000,2.400559297,971.0757301,50.52809895
11237,3631,12034.84134,67710.97397,167084.9194,0,58725,304798.944,28446.29,84594.38,301.1571975,15682.6,37.64701122,15228.99224,792.4119646
11238,0,18454.95712,88558.66882,337337.8697,56931.5,8015,478581.3909,32437.1,127809.28,4041.91381,210480.5,505.270921,204392.5052,10635.17953
11239,0,0,0,0,0,0,0,0,0,670.847024,34934,83.86113847,33923.55955,1765.148609
11240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11241,0,89.02819468,15.59899555,2360.567056,0,0,2320.999709,144.19,608.39,0,0,0,0,0
11242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11247,0,4.00972542,0.7025604554,106.3171703,0,0,104.5351034,6.49,27.4,1248.481377,0,65170.06996,62483.37751,3935.173825
11248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11249,0,2298.406105,1775.713171,33771.33705,16279.6,732,57972.34232,5670.61,15507.9,0,0,0,0,0
11251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11303,0,393.7519637,68.99089836,10440.26465,0,0,10265.26705,637.74,2690.79,0,0,0,0,0
11320,0,49.85271643,1306.734899,23.83608224,0,0,1312.659734,67.76,330.3,0,0,0,0,0
11321,0,1007.831426,176.5862824,26722.4745,0,0,26274.55779,1632.33,6887.25,0,0,0,0,0
11346,0,3.852255361,100.9749695,1.841879082,0,0,101.4327976,5.24,25.52,0,0,0,0,0
11350,0,61.19056073,111.9214494,29.2570464,0,1492,1432.15375,262.22,548.65,0,0,0,0,0
11351,0,59.90391512,10.49601094,535.3418625,0,1053,1445.888398,212.85,502.03,0,0,0,0,0
11352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11354,0,33273.13938,280709.1234,346790.6881,79845.2,128904,845565.5106,75769.04,234519.66,14696.87105,738660.4,28508.52413,742928.3263,38937.46887
11355,440,49645.65099,597200.4184,469952.878,0,143833,1268464.711,106225.34,337194.66,14200.13623,606227.5,135012.1284,716743.6592,38696.10543
11356,0,15974.64622,28187.78336,81019.85853,20429.4,212443,380733.4845,61605.1,120895.02,0,0,0,0,0
11357,486,23427.60812,107517.6474,78567.64365,37641.9,166926,559182.376,89529.02,154536.58,1419.471131,73918.2,177.4450222,71780.17003,3734.946124
11358,0,35480.9618,274991.165,253577.4143,13004.9,255187,878067.5788,104401.66,249969.62,211.3127799,11004,26.4157545,10685.71733,556.0112009
11359,0,4481.017946,117456.0376,2142.509374,0,0,117988.5921,6090.97,29688.69,0,0,0,0,0
11360,0,5824.763735,101286.0808,10409.19463,0,33111,147722.3381,13565.6,40978.69,2658.377758,138433.6,332.3180654,134429.5092,6994.786639
11361,528,21630.72111,112754.0075,89311.79796,136140.8,132018,530154.9239,68800.6,153517.15,2480.711027,90301.7,39190.10833,125056.4136,6916.10572
11362,0,12045.26893,51361.20103,47504.10514,145183.2,49736,299360.4834,34173.49,88504.75,0,0,0,0,0
11363,0,5771.719369,35784.58665,46664.33252,0,55859,142470.6849,17348.45,42694.69,0.4282329145,0,22.35353247,21.43198878,1.349776607
11364,0,19930.87406,147017.9703,89739.14999,113376.1,128401,494902.7293,56983.96,145280.19,3456.66152,180003.8,432.1097955,174797.3215,9095.249818
11365,419,26381.35084,136767.9848,322932.0168,83514,114689,666750.7152,63749.94,187940.62,4027.778283,209744.4,503.5038693,203677.6964,10597.9858
11366,0,9362.708857,90383.17866,62820.89254,0,57239,233157.8834,26095.9,64837.87,0,0,0,0,0
11367,11052,13349.37452,181555.8987,44638.33722,10613,72491,337047.8378,32596.87,92817.42,5637.993572,281723.5,12576.79341,284984.7445,14953.54248
11368,0,27568.2142,394092.04,136599.3919,0,119124,697465.6763,65899.27,188196.15,982.5621792,51166.4,122.8279772,49686.44923,2585.340922
11369,428,12641.16636,69964.51067,66620.22162,0,125925,305987.7865,44046.61,90353.07,529.5781704,15000,12643.70142,26654.06595,1519.213649
11370,0,5066.29575,56744.58648,13414.64828,0,46334,124920.4364,15365.49,36604.3,0,0,0,0,0
11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11372,0,28561.12054,299403.7112,293265.0302,75440.5,76356,733630.2422,57228.32,200387.93,3215.107431,154019,13807.91364,162448.2941,8593.726967
11373,0,26833.16317,329870.1487,238859.6419,1809.5,100420,685353.4745,57657.88,185684.79,7228.437174,258528.1,118792.5113,364350.5241,20198.52442
11374,0,10183.24309,115519.8478,107814.8146,0,28593,260692.3494,21282.06,69447.83,5038.828513,262394.3,629.8930762,254804.7364,13258.28515
11375,0,32276.20028,561334.6456,173964.3215,12321.2,91989,833340.1218,60389.15,222688.39,5434.809536,54641,229053.1938,272545.0655,16583.93782
